Variant,Price,Tax (Filer),Tax  (Non-Filer),Image_link,,,,,,,,,,,,,,,
Toyota Single Cabin 4x2 S/C STD  ,"3,755,500","150,000","300,000",https://toyota-central.com/Assets/images/body-types/SingleCabin.png,,,,,,,,"3,755,500","150,000","300,000",,,0,TRUE,TRUE
Toyota Single Cabin 4x2 S/C UP SPEC  ,"3,785,500","150,000","300,000",https://toyota-central.com/Assets/images/body-types/SingleCabin.png,,,,,,,,"3,785,500","150,000","300,000",,,0,TRUE,TRUE
Toyota Single Cabin 4x2 DECKLESS  ,"3,505,500","150,000","300,000",https://toyota-central.com/Assets/images/body-types/SingleCabin.png,,,,,,,,"3,505,500","150,000","300,000",,,0,TRUE,TRUE
Toyota Single Cabin 4x4 S/C STANDARD  ,"5,105,500","200,000","400,000",https://toyota-central.com/Assets/images/body-types/SingleCabin.png,,,,,,,,"5,105,500","200,000","400,000",,,0,TRUE,TRUE
Land Cruiser Prado  3.0 Diesel Turbo M/T  ,"27,944,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png,,,,,,,,"27,944,500",N/A,N/A,,,0,TRUE,TRUE
Land Cruiser Prado 3.0 Diesel Turbo A/T  ,"39,284,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png,,,,,,,,"39,284,500",N/A,N/A,,,0,TRUE,TRUE
Land Cruiser Prado 4.0 Petrol A/T  ,"41,424,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png,,,,,,,,"41,424,500",N/A,N/A,,,0,TRUE,TRUE
"Land Cruiser LAND CRUISER STATION WAGON GX MT 4.5L - VDJ200R (DIESEL)
  ","41,705,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png,,,,,,,,"41,705,000",N/A,N/A,,,0,TRUE,TRUE
"Land Cruiser LAND CRUISER STATION WAGON VX AT 4.5L - VDJ200R (DIESEL)
  ","51,385,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png,,,,,,,,"51,385,000",N/A,N/A,,,0,TRUE,TRUE
"Land Cruiser LAND CRUISER STATION VX R A/T (DIESEL) (NEW VARIANT)
  ","57,865,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png,,,,,,,,"57,865,000",N/A,N/A,,,0,TRUE,TRUE
"Land Cruiser LAND CRUISER STATION WAGON VX AT 4.6L - URJ202R (PETROL)
  ","52,665,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png,,,,,,,,"52,665,000",N/A,N/A,,,0,TRUE,TRUE
Rush G M/T  ,"5,636,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Rush-menu.png,,,,,,,,"5,636,000",N/A,N/A,,,0,TRUE,TRUE
Rush G A/T  ,"5,846,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Rush-menu.png,,,,,,,,"5,846,000",N/A,N/A,,,0,TRUE,TRUE
Toyota Hiace STANDARD ROOF 2.5L DIESEL  ,"6,016,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"6,016,500",N/A,N/A,,,0,TRUE,TRUE
"Toyota Hiace STANDARD ROOF 2.5L DIESEL DUAL A/C
  ","6,486,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"6,486,500",N/A,N/A,,,0,TRUE,TRUE
"Toyota Hiace HI ROOF 2.5L DIESEL DUAL A/C
  ","7,356,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"7,356,500",N/A,N/A,,,0,TRUE,TRUE
Toyota Hiace STANDARD ROOF 2.7L GASOLINE  ,"5,696,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"5,696,500",N/A,N/A,,,0,TRUE,TRUE
"Toyota Hiace STANDARD ROOF 2.7L GASOLINE DUAL A/C
  ","6,066,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"6,066,500",N/A,N/A,,,0,TRUE,TRUE
"Toyota Hiace MID ROOF 2.7L GASOLINE DUAL A/C
  ","6,626,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png,,,,,,,,"6,626,500",N/A,N/A,,,0,TRUE,TRUE
Toyota Coaster High Roof 29 Seater F/L With AC   ,"14,007,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Coaster.png,,,,,,,,"14,007,000",N/A,N/A,,,0,TRUE,TRUE
Hiace Deluxe Standard Roof Commuter   ,"6,896,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png,,,,,,,,"6,896,500",N/A,N/A,,,0,TRUE,TRUE
Hiace Deluxe Standard High Commuter  ,"7,856,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png,,,,,,,,"7,856,500",N/A,N/A,,,0,TRUE,TRUE
Hiace Deluxe Standard High Roof Tourer   ,"8,956,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png,,,,,,,,"8,956,500",N/A,N/A,,,0,TRUE,TRUE
Hiace Deluxe Luxury Wagon High Grade  ,"11,120,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png,,,,,,,,"11,120,000",N/A,N/A,,,0,TRUE,TRUE
Hiace Deluxe Luxury Wagon low Grade  ,"9,680,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png,,,,,,,,"9,680,000",N/A,N/A,,,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
